,0
0,Alabama
1,Alaska
2,Arkansas
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kansas
13,Kentucky
14,Louisiana
15,Maine
16,Maryland
17,Massachusetts
18,Michigan
19,Minnesota
20,Mississippi
21,Missouri
22,Montana
23,Nebraska
24,New Hampshire
25,New Jersey
26,New York
27,North Carolina
28,North Dakota
29,Ohio
30,Oklahoma
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Vermont
37,Virginia
38,West Virginia
39,Wisconsin
